Year,Crop,Irrigation,seed,crop insurance,fertilizers,depreciation
1998,wheat,0,7.303130491,6.288409816,15.06359988,14.93497331
1999,wheat,0,6.012695678,4.474564226,15.1436033,14.94784112
2000,wheat,0,5.533066957,4.55903072,16.99152102,15.05697683
2001,wheat,0,4.735433089,6.090293111,13.90375771,15.77162298
2002,wheat,0,5.658822068,5.619974319,10.50184141,15.92757699
2003,wheat,0,5.000979076,6.634210217,7.988905815,15.30679418
2004,wheat,0,5.820841927,8.126980572,9.545194177,15.03306421
2005,wheat,0,5.272247517,7.87258679,12.78698945,14.81477696
2006,wheat,0,5.696815526,7.360794097,13.91270972,15.43802341
2007,wheat,0,5.965996614,10.93204276,15.28014199,19.15635448
2008,wheat,0,9.294346247,13.48167104,26.97416204,18.42639308
2009,wheat,0,9.555561978,20.21870046,38.45027837,19.48031612
2010,wheat,0,8.888552665,14.23023095,30.0095486,22.64871593
2011,wheat,0,6.990605231,17.83381068,34.73554066,19.45977367
2012,wheat,0,11.26258831,16.39670514,46.24763739,24.42256762
2013,wheat,0,14.51,19.6,49.05,26.78
2014,wheat,0,7.64596804,14.45550457,31.91232221,29.80648288
2015,wheat,0,12.38416738,12.11879237,35.9140854,28.03146458
2016,wheat,0,10.57982184,12.23959205,39.1453408,25.17803472
2017,wheat,0,7.736088365,10.78680626,29.03409085,20.68025587
2018,wheat,0,7.765016865,10.82649305,28.21196689,17.03294022
2019,wheat,0,7.763502036,14.46088936,36.58504774,19.55454856
2020,wheat,0,10.5492272,8.893034531,37.79539676,20.04533188
2021,wheat,0,9.835140717,14.20249341,36.47771159,19.38657545
2022,wheat,0,11.47053824,15.73716455,40.83543456,19.16797786
1996,corn,1,48.99669216,17.5348768,57.2667399,31.23910312
1997,corn,1,53.9502286,19.01393583,69.17589171,35.48784206
1998,corn,1,51.90796466,18.06488638,64.0274454,35.35801337
1999,corn,1,48.66088595,13.14403241,53.89053289,35.86642887
2000,corn,1,48.83709466,9.835060337,53.58552131,34.53770157
2001,corn,1,49.39319791,13.68014003,67.79561705,34.72650932
2002,corn,1,46.487806,14.49021028,51.03299261,33.24072368
2003,corn,1,46.14827527,12.97722418,47.97141701,31.18332016
2004,corn,1,51.22834187,20.9155676,60.0582631,35.31968491
2005,corn,1,60.80976887,15.48275402,64.84148756,37.16815218
2006,corn,1,58.40102569,15.16069365,69.89865541,36.06442445
2007,corn,1,66.67085482,18.84176332,91.75949972,34.04325752
2008,corn,1,72.69931599,34.0071365,113.7069671,37.41542412
2009,corn,1,84.43642038,28.47123126,117.5659881,43.52124137
2010,corn,1,87.19755632,24.05891899,95.69082479,45.48973227
2011,corn,1,91.20927447,34.26950031,149.0397035,50.40485283
2012,corn,1,88.5685886,32.39769772,165.0831638,61.45720485
2013,corn,1,105.43,39.27,152.65,82.79
2014,corn,1,101.3066164,24.23683305,106.9353085,79.53971644
2015,corn,1,100.2331261,21.34794567,107.2704784,70.08849015
2016,corn,1,97.38289221,20.43167428,100.7800827,58.70345182
2017,corn,1,96.83415768,23.80700412,82.91109938,51.36800689
2018,corn,1,80.0529636,26.7090604,85.1554239,44.75321548
2019,corn,1,85.89968743,22.08771002,96.4423774,51.72023187
2020,corn,1,80.75739455,20.25235597,86.29303851,58.21877262
2021,corn,1,86.49593597,20.82229966,86.30679865,53.96431668
2022,corn,1,72.72369008,20.43363753,133.5867959,60.87902602
1996,sorghum,1,11.40286654,7.364351307,40.28121995,28.62594621
1997,sorghum,1,9.797257009,4.673654455,30.31343891,24.61651539
1998,sorghum,1,8.317851166,2.115192393,20.92325448,20.92325448
1999,sorghum,1,9.022857066,3.551685354,27.88085715,21.74485672
2000,sorghum,1,9.585402059,4.870181185,34.14292173,22.27001033
2001,sorghum,1,10.15248155,6.129755054,40.16866992,22.8520521
2002,sorghum,1,10.81380061,7.406970762,46.40540169,23.67593706
2003,sorghum,1,11.37391835,8.583959022,52.08039176,24.30165068
2004,sorghum,1,11.85918064,9.668517099,57.26443836,24.79463406
2005,sorghum,1,12.22528147,10.616064,61.70871852,25.0686586
2006,sorghum,1,12.57438352,11.50918512,65.90363615,25.33785552
2007,sorghum,1,12.9370507,12.38140917,70.03228178,25.65960742
2008,sorghum,1,13.14330136,13.07051253,73.17637789,25.69642305
2009,sorghum,1,13.87728205,14.26819141,79.19171989,26.77729072
2010,sorghum,1,16.70609883,16.89839925,66.84576205,33.43356438
2011,sorghum,1,19.15425833,19.15425833,54.0710369,39.28202317
2012,sorghum,1,21.66526278,21.48262621,42.46300186,45.21777009
2013,sorghum,1,24.21,23.85,31.49,51.2
2014,sorghum,1,23.1576724,23.55784748,39.63701321,44.93113265
2015,sorghum,1,22.46514173,23.61837636,48.22945185,39.43276153
2016,sorghum,1,21.5284815,23.41149566,56.16041207,33.56424213
2017,sorghum,1,21.07941523,22.92315127,54.98895243,32.86411986
2018,sorghum,1,20.57683083,22.37660774,53.67788242,32.08055952
2019,sorghum,1,20.21061915,21.97836492,52.72256195,31.50961272
2020,sorghum,1,19.96432246,21.7105256,52.0800585,31.12562086
2021,sorghum,1,19.06848087,20.73632815,49.74311555,29.72894808
2022,sorghum,1,17.65555436,19.19981835,46.0572757,27.52610774
1996,soybeans,1,30.31855921,24.988313,2.479529573,19.34626966
1997,soybeans,1,34.61697477,22.17808698,12.20665651,21.13304623
1998,soybeans,1,39.50264712,15.7067327,9.375447362,22.42389773
1999,soybeans,1,36.34185132,9.997854442,12.78047407,24.83383145
2000,soybeans,1,36.59400029,8.8610241,9.091004878,24.3644342
2001,soybeans,1,33.98988639,9.378788312,15.8242389,22.94054252
2002,soybeans,1,35.63633485,14.60675353,6.83720378,25.88554992
